file,path,ext,size_kb,total_rows,total_cols,columns,error
Chhapra_AQIBulletins.csv,./data/Chhapra_AQIBulletins.csv,.csv,26.9,,,,Could not read
Panchkula_AQIBulletins.csv,./data/Panchkula_AQIBulletins.csv,.csv,107.6,,,,Could not read
GandhiNagar_AQIBulletins.csv,./data/GandhiNagar_AQIBulletins.csv,.csv,81.5,,,,Could not read
Baripada_AQIBulletins.csv,./data/Baripada_AQIBulletins.csv,.csv,15.0,,,,Could not read
Korba_AQIBulletins.csv,./data/Korba_AQIBulletins.csv,.csv,14.5,,,,Could not read
Visakhapatnam_AQIBulletins.csv,./data/Visakhapatnam_AQIBulletins.csv,.csv,114.5,,,,Could not read
Pratapgarh_AQIBulletins.csv,./data/Pratapgarh_AQIBulletins.csv,.csv,11.9,,,,Could not read
Kunjemura_AQIBulletins.csv,./data/Kunjemura_AQIBulletins.csv,.csv,7.5,,,,Could not read
Hosur_AQIBulletins.csv,./data/Hosur_AQIBulletins.csv,.csv,12.6,,,,Could not read
Akola_AQIBulletins.csv,./data/Akola_AQIBulletins.csv,.csv,7.3,,,,Could not read
Raipur_AQIBulletins.csv,./data/Raipur_AQIBulletins.csv,.csv,16.0,,,,Could not read
Sivasagar_AQIBulletins.csv,./data/Sivasagar_AQIBulletins.csv,.csv,17.1,,,,Could not read
Panipat_AQIBulletins.csv,./data/Panipat_AQIBulletins.csv,.csv,61.9,,,,Could not read
Narnaul_AQIBulletins.csv,./data/Narnaul_AQIBulletins.csv,.csv,62.1,,,,Could not read
Palkalaiperur_AQIBulletins.csv,./data/Palkalaiperur_AQIBulletins.csv,.csv,8.1,,,,Could not read
Nayagarh_AQIBulletins.csv,./data/Nayagarh_AQIBulletins.csv,.csv,14.6,,,,Could not read
Durgapur_AQIBulletins.csv,./data/Durgapur_AQIBulletins.csv,.csv,67.9,,,,Could not read
AQI Data.csv,./data/AQI Data.csv,.csv,60.6,,,,Could not read
Bilaspur_AQIBulletins.csv,./data/Bilaspur_AQIBulletins.csv,.csv,28.1,,,,Could not read
Pune_AQIBulletins.csv,./data/Pune_AQIBulletins.csv,.csv,109.0,,,,Could not read
Madikeri_AQIBulletins.csv,./data/Madikeri_AQIBulletins.csv,.csv,26.0,,,,Could not read
Bihar Sharif_AQIBulletins.csv,./data/Bihar Sharif_AQIBulletins.csv,.csv,27.5,,,,Could not read
Hanumangarh_AQIBulletins.csv,./data/Hanumangarh_AQIBulletins.csv,.csv,12.5,,,,Could not read
Mysuru_AQIBulletins.csv,./data/Mysuru_AQIBulletins.csv,.csv,52.0,,,,Could not read
Motihari_AQIBulletins.csv,./data/Motihari_AQIBulletins.csv,.csv,27.6,,,,Could not read
Cuddalore_AQIBulletins.csv,./data/Cuddalore_AQIBulletins.csv,.csv,10.2,,,,Could not read
Jabalpur_AQIBulletins.csv,./data/Jabalpur_AQIBulletins.csv,.csv,62.4,,,,Could not read
Nandesari_AQIBulletins.csv,./data/Nandesari_AQIBulletins.csv,.csv,29.7,,,,Could not read
Kaithal_AQIBulletins.csv,./data/Kaithal_AQIBulletins.csv,.csv,68.5,,,,Could not read
Brajrajnagar_AQIBulletins.csv,./data/Brajrajnagar_AQIBulletins.csv,.csv,60.2,,,,Could not read
Belgaum_AQIBulletins.csv,./data/Belgaum_AQIBulletins.csv,.csv,17.5,,,,Could not read
Rupnagar_AQIBulletins.csv,./data/Rupnagar_AQIBulletins.csv,.csv,73.4,,,,Could not read
AP001.csv,./data/AP001.csv,.csv,7990.8,,,,Could not read
Haldia_AQIBulletins.csv,./data/Haldia_AQIBulletins.csv,.csv,78.1,,,,Could not read
Asansol_AQIBulletins.csv,./data/Asansol_AQIBulletins.csv,.csv,77.1,,,,Could not read
Faridabad_AQIBulletins.csv,./data/Faridabad_AQIBulletins.csv,.csv,130.6,,,,Could not read
Thane_AQIBulletins.csv,./data/Thane_AQIBulletins.csv,.csv,79.0,,,,Could not read
Kochi_AQIBulletins.csv,./data/Kochi_AQIBulletins.csv,.csv,43.4,,,,Could not read
Bhiwandi_AQIBulletins.csv,./data/Bhiwandi_AQIBulletins.csv,.csv,6.0,,,,Could not read
Tiruchirappalli_AQIBulletins.csv,./data/Tiruchirappalli_AQIBulletins.csv,.csv,0.4,,,,Could not read
Moradabad_AQIBulletins.csv,./data/Moradabad_AQIBulletins.csv,.csv,83.7,,,,Could not read
AQI.csv,./data/AQI.csv,.csv,343.6,,,,Could not read
Kanpur_AQIBulletins.csv,./data/Kanpur_AQIBulletins.csv,.csv,121.3,,,,Could not read
bengaluru_combined.csv,./data/bengaluru_combined.csv,.csv,129.7,,,,Could not read
aqi_india_38cols_knn_final.csv,./data/aqi_india_38cols_knn_final.csv,.csv,173507.2,,,,Could not read
Hyderabad_AQIBulletins.csv,./data/Hyderabad_AQIBulletins.csv,.csv,155.6,,,,Could not read
Kolar_AQIBulletins.csv,./data/Kolar_AQIBulletins.csv,.csv,19.1,,,,Could not read
Dhule_AQIBulletins.csv,./data/Dhule_AQIBulletins.csv,.csv,6.8,,,,Could not read
Parbhani_AQIBulletins.csv,./data/Parbhani_AQIBulletins.csv,.csv,7.0,,,,Could not read
Maihar_AQIBulletins.csv,./data/Maihar_AQIBulletins.csv,.csv,48.8,,,,Could not read
Ernakulam_AQIBulletins.csv,./data/Ernakulam_AQIBulletins.csv,.csv,33.8,,,,Could not read
Karauli_AQIBulletins.csv,./data/Karauli_AQIBulletins.csv,.csv,10.9,,,,Could not read
Rajamahendravaram_AQIBulletins.csv,./data/Rajamahendravaram_AQIBulletins.csv,.csv,109.0,,,,Could not read
Nagaon_AQIBulletins.csv,./data/Nagaon_AQIBulletins.csv,.csv,10.8,,,,Could not read
Baghpat_AQIBulletins.csv,./data/Baghpat_AQIBulletins.csv,.csv,63.9,,,,Could not read
Bulandshahr_AQIBulletins.csv,./data/Bulandshahr_AQIBulletins.csv,.csv,83.0,,,,Could not read
Chittoor_AQIBulletins.csv,./data/Chittoor_AQIBulletins.csv,.csv,12.2,,,,Could not read
Firozabad_AQIBulletins.csv,./data/Firozabad_AQIBulletins.csv,.csv,37.6,,,,Could not read
Keonjhar_AQIBulletins.csv,./data/Keonjhar_AQIBulletins.csv,.csv,14.4,,,,Could not read
Chandigarh_AQIBulletins.csv,./data/Chandigarh_AQIBulletins.csv,.csv,71.2,,,,Could not read
Katni_AQIBulletins.csv,./data/Katni_AQIBulletins.csv,.csv,56.0,,,,Could not read
Medikeri_AQIBulletins.csv,./data/Medikeri_AQIBulletins.csv,.csv,14.5,,,,Could not read
Yamunanagar_AQIBulletins.csv,./data/Yamunanagar_AQIBulletins.csv,.csv,73.2,,,,Could not read
Ramanagara_AQIBulletins.csv,./data/Ramanagara_AQIBulletins.csv,.csv,56.6,,,,Could not read
Bharatpur_AQIBulletins.csv,./data/Bharatpur_AQIBulletins.csv,.csv,13.0,,,,Could not read
Satna_AQIBulletins.csv,./data/Satna_AQIBulletins.csv,.csv,77.4,,,,Could not read
Chengalpattu_AQIBulletins.csv,./data/Chengalpattu_AQIBulletins.csv,.csv,6.2,,,,Could not read
Chikkamagaluru_AQIBulletins.csv,./data/Chikkamagaluru_AQIBulletins.csv,.csv,53.7,,,,Could not read
Tumidih_AQIBulletins.csv,./data/Tumidih_AQIBulletins.csv,.csv,8.1,,,,Could not read
Thiruvananthapuram_AQIBulletins.csv,./data/Thiruvananthapuram_AQIBulletins.csv,.csv,118.6,,,,Could not read
Agra_AQIBulletins.csv,./data/Agra_AQIBulletins.csv,.csv,114.0,,,,Could not read
Karnal_AQIBulletins.csv,./data/Karnal_AQIBulletins.csv,.csv,65.6,,,,Could not read
Bhagalpur_AQIBulletins.csv,./data/Bhagalpur_AQIBulletins.csv,.csv,32.8,,,,Could not read
Meerut_AQIBulletins.csv,./data/Meerut_AQIBulletins.csv,.csv,64.3,,,,Could not read
Chamarajanagar_AQIBulletins.csv,./data/Chamarajanagar_AQIBulletins.csv,.csv,43.9,,,,Could not read
NehruNagar_Hourly.csv,./data/NehruNagar_Hourly.csv,.csv,1343.1,,,,Could not read
Sikar_AQIBulletins.csv,./data/Sikar_AQIBulletins.csv,.csv,10.9,,,,Could not read
Vellore_AQIBulletins.csv,./data/Vellore_AQIBulletins.csv,.csv,4.8,,,,Could not read
Purnia_AQIBulletins.csv,./data/Purnia_AQIBulletins.csv,.csv,24.3,,,,Could not read
Tonk_AQIBulletins.csv,./data/Tonk_AQIBulletins.csv,.csv,9.5,,,,Could not read
Ambala_AQIBulletins.csv,./data/Ambala_AQIBulletins.csv,.csv,66.3,,,,Could not read
Sawai Madhopur_AQIBulletins.csv,./data/Sawai Madhopur_AQIBulletins.csv,.csv,12.3,,,,Could not read
DwarkaSec8_Hourly.csv,./data/DwarkaSec8_Hourly.csv,.csv,1337.1,,,,Could not read
Lucknow_AQIBulletins.csv,./data/Lucknow_AQIBulletins.csv,.csv,134.3,,,,Could not read
Thrissur_AQIBulletins.csv,./data/Thrissur_AQIBulletins.csv,.csv,35.9,,,,Could not read
Pithampur_AQIBulletins.csv,./data/Pithampur_AQIBulletins.csv,.csv,93.2,,,,Could not read
Ujjain_AQIBulletins.csv,./data/Ujjain_AQIBulletins.csv,.csv,82.4,,,,Could not read
Davanagere_AQIBulletins.csv,./data/Davanagere_AQIBulletins.csv,.csv,33.6,,,,Could not read
Raichur_AQIBulletins.csv,./data/Raichur_AQIBulletins.csv,.csv,32.2,,,,Could not read
Kota_AQIBulletins.csv,./data/Kota_AQIBulletins.csv,.csv,82.7,,,,Could not read
Vatva_AQIBulletins.csv,./data/Vatva_AQIBulletins.csv,.csv,65.7,,,,Could not read
Belapur_AQIBulletins.csv,./data/Belapur_AQIBulletins.csv,.csv,6.7,,,,Could not read
Rajgir_AQIBulletins.csv,./data/Rajgir_AQIBulletins.csv,.csv,23.3,,,,Could not read
Jhalawar_AQIBulletins.csv,./data/Jhalawar_AQIBulletins.csv,.csv,11.8,,,,Could not read
Palwal_AQIBulletins.csv,./data/Palwal_AQIBulletins.csv,.csv,64.1,,,,Could not read
Banswara_AQIBulletins.csv,./data/Banswara_AQIBulletins.csv,.csv,11.5,,,,Could not read
Bengaluru_AQIBulletins.csv,./data/Bengaluru_AQIBulletins.csv,.csv,159.0,,,,Could not read
Aurangabad (Bihar)_AQIBulletins.csv,./data/Aurangabad (Bihar)_AQIBulletins.csv,.csv,22.3,,,,Could not read
AshokVihar_Hourly.csv,./data/AshokVihar_Hourly.csv,.csv,1321.9,,,,Could not read
Singrauli_AQIBulletins.csv,./data/Singrauli_AQIBulletins.csv,.csv,82.8,,,,Could not read
Samastipur_AQIBulletins.csv,./data/Samastipur_AQIBulletins.csv,.csv,22.1,,,,Could not read
Vijayawada_AQIBulletins.csv,./data/Vijayawada_AQIBulletins.csv,.csv,40.5,,,,Could not read
Thoothukudi_AQIBulletins.csv,./data/Thoothukudi_AQIBulletins.csv,.csv,45.4,,,,Could not read
Cuttack_AQIBulletins.csv,./data/Cuttack_AQIBulletins.csv,.csv,2.4,,,,Could not read
Sonipat_AQIBulletins.csv,./data/Sonipat_AQIBulletins.csv,.csv,58.2,,,,Could not read
Chhal_AQIBulletins.csv,./data/Chhal_AQIBulletins.csv,.csv,8.1,,,,Could not read
Hapur_AQIBulletins.csv,./data/Hapur_AQIBulletins.csv,.csv,63.0,,,,Could not read
Darbhanga_AQIBulletins.csv,./data/Darbhanga_AQIBulletins.csv,.csv,17.1,,,,Could not read
Karwar_AQIBulletins.csv,./data/Karwar_AQIBulletins.csv,.csv,0.5,,,,Could not read
Manesar_AQIBulletins.csv,./data/Manesar_AQIBulletins.csv,.csv,66.8,,,,Could not read
Nalbari_AQIBulletins.csv,./data/Nalbari_AQIBulletins.csv,.csv,13.8,,,,Could not read
Dhanbad_AQIBulletins.csv,./data/Dhanbad_AQIBulletins.csv,.csv,8.4,,,,Could not read
Rourkela_AQIBulletins.csv,./data/Rourkela_AQIBulletins.csv,.csv,16.5,,,,Could not read
Bileipada_AQIBulletins.csv,./data/Bileipada_AQIBulletins.csv,.csv,15.3,,,,Could not read
Bundi_AQIBulletins.csv,./data/Bundi_AQIBulletins.csv,.csv,7.5,,,,Could not read
Guwahati_AQIBulletins.csv,./data/Guwahati_AQIBulletins.csv,.csv,73.3,,,,Could not read
Sirohi_AQIBulletins.csv,./data/Sirohi_AQIBulletins.csv,.csv,8.7,,,,Could not read
Bettiah_AQIBulletins.csv,./data/Bettiah_AQIBulletins.csv,.csv,22.9,,,,Could not read
Shillong_AQIBulletins.csv,./data/Shillong_AQIBulletins.csv,.csv,44.7,,,,Could not read
Haveri_AQIBulletins.csv,./data/Haveri_AQIBulletins.csv,.csv,20.0,,,,Could not read
Varanasi_AQIBulletins.csv,./data/Varanasi_AQIBulletins.csv,.csv,120.2,,,,Could not read
Jalore_AQIBulletins.csv,./data/Jalore_AQIBulletins.csv,.csv,1.8,,,,Could not read
Dausa_AQIBulletins.csv,./data/Dausa_AQIBulletins.csv,.csv,10.9,,,,Could not read
Kashipur_AQIBulletins.csv,./data/Kashipur_AQIBulletins.csv,.csv,9.3,,,,Could not read
Gwalior_AQIBulletins.csv,./data/Gwalior_AQIBulletins.csv,.csv,57.2,,,,Could not read
INDIA_AQI_COMPLETE_20251126.csv,./data/INDIA_AQI_COMPLETE_20251126.csv,.csv,276003.5,,,,Could not read
Jalna_AQIBulletins.csv,./data/Jalna_AQIBulletins.csv,.csv,6.3,,,,Could not read
Bahadurgarh_AQIBulletins.csv,./data/Bahadurgarh_AQIBulletins.csv,.csv,74.9,,,,Could not read
Bhubaneswar_AQIBulletins.csv,./data/Bhubaneswar_AQIBulletins.csv,.csv,2.7,,,,Could not read
Puducherry_AQIBulletins.csv,./data/Puducherry_AQIBulletins.csv,.csv,42.5,,,,Could not read
Amaravati_AQIBulletins.csv,./data/Amaravati_AQIBulletins.csv,.csv,82.7,,,,Could not read
Dholpur_AQIBulletins.csv,./data/Dholpur_AQIBulletins.csv,.csv,9.5,,,,Could not read
Kolhapur_AQIBulletins.csv,./data/Kolhapur_AQIBulletins.csv,.csv,10.1,,,,Could not read
Muzaffarnagar_AQIBulletins.csv,./data/Muzaffarnagar_AQIBulletins.csv,.csv,78.7,,,,Could not read
Okhla_Hourly.csv,./data/Okhla_Hourly.csv,.csv,1325.7,,,,Could not read
Chennai_AQIBulletins.csv,./data/Chennai_AQIBulletins.csv,.csv,143.6,,,,Could not read
Jaisalmer_AQIBulletins.csv,./data/Jaisalmer_AQIBulletins.csv,.csv,9.4,,,,Could not read
Sirsa_AQIBulletins.csv,./data/Sirsa_AQIBulletins.csv,.csv,63.4,,,,Could not read
Jind_AQIBulletins.csv,./data/Jind_AQIBulletins.csv,.csv,61.4,,,,Could not read
Damoh_AQIBulletins.csv,./data/Damoh_AQIBulletins.csv,.csv,55.0,,,,Could not read
Bhiwadi_AQIBulletins.csv,./data/Bhiwadi_AQIBulletins.csv,.csv,82.1,,,,Could not read
Chandrapur_AQIBulletins.csv,./data/Chandrapur_AQIBulletins.csv,.csv,130.7,,,,Could not read
Ludhiana_AQIBulletins.csv,./data/Ludhiana_AQIBulletins.csv,.csv,95.8,,,,Could not read
Amritsar_AQIBulletins.csv,./data/Amritsar_AQIBulletins.csv,.csv,93.7,,,,Could not read
Mahad_AQIBulletins.csv,./data/Mahad_AQIBulletins.csv,.csv,6.5,,,,Could not read
Talcher_AQIBulletins.csv,./data/Talcher_AQIBulletins.csv,.csv,65.8,,,,Could not read
Ramanathapuram_AQIBulletins.csv,./data/Ramanathapuram_AQIBulletins.csv,.csv,20.1,,,,Could not read
Angul_AQIBulletins.csv,./data/Angul_AQIBulletins.csv,.csv,2.4,,,,Could not read
Muzaffarpur_AQIBulletins.csv,./data/Muzaffarpur_AQIBulletins.csv,.csv,120.7,,,,Could not read
Barbil_AQIBulletins.csv,./data/Barbil_AQIBulletins.csv,.csv,2.3,,,,Could not read
